,0,1,i,j,dist
408,0.9976803064346312,0.002319720108062,54,8,1093.5228931900867
409,0.9978737831115724,0.0021262357477098,55,8,983.9677003855164
410,0.9999910593032836,8.95649009180488e-06,56,8,874.412507580946
411,0.0030527666676789,0.9969472289085388,57,8,764.8573147763758
412,0.9880017638206482,0.0119983041658997,58,8,655.3021219718055
413,1.0,7.912828725586962e-11,59,8,545.7469291672351
414,1.0,2.743134164262528e-09,60,8,389.55876975655025
415,1.0,1.4201567873073362e-11,61,8,224.97742835388195
416,1.0,4.392533906050211e-11,62,8,60.39608695121366
417,1.0,1.2897146461909871e-08,63,8,-104.18525445145464
418,1.0,3.962927319633991e-09,64,8,-268.76659585412295
419,1.0,2.8074909508291057e-08,4,9,-3571.239840727587
420,0.0008023783448152,0.9991976618766784,5,9,-3318.9627897884
421,0.9926669001579284,0.0073331114836037,6,9,-3067.302723892769
422,0.8689247965812683,0.1310752183198928,7,9,-2816.425038945649
423,0.8627851605415344,0.1372148692607879,8,9,-2566.559175238319
424,1.0,6.570073929346164e-10,9,9,-2318.0323552530494
425,0.94845712184906,0.0515428595244884,10,9,-2071.3266280333482
426,0.999930739402771,6.920083978911862e-05,11,9,-1827.1797941089433
427,0.999055802822113,0.0009442159789614,12,9,-1586.7734557900822
428,0.9448047876358032,0.0551951676607131,13,9,-1352.1042859188044
429,0.9998248219490052,0.0001751653908286,14,9,-1125.2675379723587
430,0.9961208701133728,0.0038791554979979,15,9,-899.9200122844321
431,0.995374858379364,0.0046251211315393,16,9,-674.5724865965057
432,0.9989336133003236,0.001066398108378,17,9,-449.2249609085791
433,0.9999545812606812,4.545444971881807e-05,18,9,-223.87743522065253
